Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.075865042,-6.941515045,-6.169270935,10.27298721,13.84842234
4.085898042,-6.487060089,-6.070027313,10.03887405,13.40545309
4.095930042,-6.070027313,-6.073320465,9.880952454,13.09059489
4.105963042,-5.733227692,-6.187832336,9.684860229,12.84350756
4.115996042,-5.449717255,-6.223757629,9.341623993,12.47800128
4.126029042,-5.162314911,-6.099815369,8.812174988,11.8958678
4.136062042,-4.850513306,-5.847889252,8.149053955,11.14147066
4.146095042,-4.67911972,-5.428611145,7.60089386,10.44689273
4.156127042,-4.485272827,-4.68390976,7.2287677,9.71142448
4.166160042,-4.081412659,-3.972888336,6.868167572,8.922639566
4.176193042,-3.602857819,-3.508104858,6.733447723,8.403969443
4.186226042,-3.156635742,-3.256777496,6.82745224,8.196648886
4.196259042,-2.681523743,-3.076701965,6.833140411,7.959175362
4.206292042,-2.144590302,-2.924917603,6.697821808,7.616772775
4.216325042,-1.637295227,-2.891537018,6.556066589,7.350083749
4.226357042,-1.127006378,-2.946173401,6.351142731,7.091339441
4.236390042,-0.476459198,-2.901416473,5.971232758,6.655888488
4.246423042,0.175135803,-2.805765381,5.784421234,6.431370067
4.256456042,0.690813446,-2.789898376,5.79070816,6.464754997
4.266489042,1.098415833,-2.785108337,5.562133484,6.316698084
4.276522042,1.202299805,-2.833757172,5.400319977,6.216040571
4.286554042,1.096619568,-2.771037598,5.503605194,6.258665511
4.296587042,0.914897461,-2.398312683,5.747148743,6.29433553
